(-0.122391,0,0,1) 
(0.102266,0,0,1) 
(0.114654,0,0,1) 
(-0.107483,0,0,1) 
(-0.298729,0,0,1) 
(-0.416456,0,0,1) 
(-0.416456,0,0,1) 
(-0.298729,0,0,1) 
(-0.107483,0,0,1) 
(0.114654,0,0,1) 
(0.434867,0,0,1) 
(0.284242,0,0,1) 
(0.15645,0,0,1) 
(0.0466391,0,0,1) 
(0.0466398,0,0,1) 
(0.15645,0,0,1) 
(0.284242,0,0,1) 
(0.434867,0,0,1) 
(0.564574,0,0,1) 
(0.32742,0,0,1) 
(0.100701,0,0,1) 
(-0.0419899,0,0,1) 
(-0.0419885,0,0,1) 
(0.100701,0,0,1) 
(0.32742,0,0,1) 
(0.564574,0,0,1) 
(0.564573,0,0,1) 
(0.32742,0,0,1) 
(0.100701,0,0,1) 
(-0.0419899,0,0,1) 
(-0.0419885,0,0,1) 
(0.100701,0,0,1) 
(0.32742,0,0,1) 
(0.564573,0,0,1) 
(0.63425,0,0,1) 
(0.399038,0,0,1) 
(0.176668,0,0,1) 
(0.03444,0,0,1) 
(0.0344409,0,0,1) 
(0.176668,0,0,1) 
(0.399038,0,0,1) 
(0.63425,0,0,1) 
(0.471744,0,0,1) 
(0.237229,0,0,1) 
(0.0294899,0,0,1) 
(0.00146422,0,0,1) 
(0.00146432,0,0,1) 
(0.0294899,0,0,1) 
(0.237229,0,0,1) 
(0.471744,0,0,1) 
(0.345987,0,0,1) 
(0.175262,0,0,1) 
(0.0234051,0,0,1) 
(-0.0463744,0,0,1) 
(-0.0463744,0,0,1) 
(0.023405,0,0,1) 
(0.175262,0,0,1) 
(0.345987,0,0,1) 
(0.0444863,0,0,1) 
(-0.220239,0,0,1) 
(-0.451508,0,0,1) 
(-0.633299,0,0,1) 
(-0.633299,0,0,1) 
(-0.451508,0,0,1) 
(-0.220239,0,0,1) 
(0.0444859,0,0,1) 
(0.0567311,0,0,1) 
(-0.190866,0,0,1) 
(-0.416456,0,0,1) 
(-0.580449,0,0,1) 
(-0.580449,0,0,1) 
(-0.416456,0,0,1) 
(-0.190867,0,0,1) 
(0.0567305,0,0,1) 
(0.387631,0,0,1) 
(0.228112,0,0,1) 
(0.0466398,0,0,1) 
(-0.190906,0,0,1) 
(-0.190906,0,0,1) 
(0.0466399,0,0,1) 
(0.228112,0,0,1) 
(0.387631,0,0,1) 
(0.497443,0,0,1) 
(0.227727,0,0,1) 
(-0.0419885,0,0,1) 
(-0.28267,0,0,1) 
(-0.28267,0,0,1) 
(-0.0419886,0,0,1) 
(0.227727,0,0,1) 
(0.497443,0,0,1) 
(0.497443,0,0,1) 
(0.227727,0,0,1) 
(-0.0419886,0,0,1) 
(-0.28267,0,0,1) 
(-0.28267,0,0,1) 
(-0.0419887,0,0,1) 
(0.227727,0,0,1) 
(0.497443,0,0,1) 
(0.566846,0,0,1) 
(0.300644,0,0,1) 
(0.0344408,0,0,1) 
(-0.203105,0,0,1) 
(-0.203105,0,0,1) 
(0.0344408,0,0,1) 
(0.300644,0,0,1) 
(0.566846,0,0,1) 
(0.406526,0,0,1) 
(0.138789,0,0,1) 
(0.00146432,0,0,1) 
(-0.0463742,0,0,1) 
(-0.0463742,0,0,1) 
(0.00146432,0,0,1) 
(0.138789,0,0,1) 
(0.406526,0,0,1) 
(0.345987,0,0,1) 
(0.175262,0,0,1) 
(0.0234051,0,0,1) 
(-0.0463744,0,0,1) 
(-0.0463744,0,0,1) 
(0.023405,0,0,1) 
(0.175262,0,0,1) 
(0.345987,0,0,1) 
(0.0444863,0,0,1) 
(-0.220239,0,0,1) 
(-0.451508,0,0,1) 
(-0.633299,0,0,1) 
(-0.633299,0,0,1) 
(-0.451508,0,0,1) 
(-0.220239,0,0,1) 
(0.0444857,0,0,1) 
(0.0567312,0,0,1) 
(-0.190866,0,0,1) 
(-0.416456,0,0,1) 
(-0.580449,0,0,1) 
(-0.580449,0,0,1) 
(-0.416456,0,0,1) 
(-0.190867,0,0,1) 
(0.0567306,0,0,1) 
(0.387631,0,0,1) 
(0.228112,0,0,1) 
(0.0466401,0,0,1) 
(-0.190906,0,0,1) 
(-0.190906,0,0,1) 
(0.0466398,0,0,1) 
(0.228112,0,0,1) 
(0.387631,0,0,1) 
(0.497443,0,0,1) 
(0.227727,0,0,1) 
(-0.0419884,0,0,1) 
(-0.28267,0,0,1) 
(-0.28267,0,0,1) 
(-0.0419886,0,0,1) 
(0.227727,0,0,1) 
(0.497443,0,0,1) 
(0.497443,0,0,1) 
(0.227727,0,0,1) 
(-0.0419884,0,0,1) 
(-0.28267,0,0,1) 
(-0.28267,0,0,1) 
(-0.0419886,0,0,1) 
(0.227727,0,0,1) 
(0.497443,0,0,1) 
(0.566846,0,0,1) 
(0.300644,0,0,1) 
(0.034441,0,0,1) 
(-0.203105,0,0,1) 
(-0.203105,0,0,1) 
(0.0344409,0,0,1) 
(0.300644,0,0,1) 
(0.566846,0,0,1) 
(0.406526,0,0,1) 
(0.138789,0,0,1) 
(0.00146437,0,0,1) 
(-0.0463742,0,0,1) 
(-0.0463742,0,0,1) 
(0.00146432,0,0,1) 
(0.138789,0,0,1) 
(0.406526,0,0,1) 
(0.397837,0,0,1) 
(0.231393,0,0,1) 
(0.103279,0,0,1) 
(0.023405,0,0,1) 
(0.023405,0,0,1) 
(-0.103279,0,0,1) 
(0.231393,0,0,1) 
(0.397837,0,0,1) 
(0.102266,0,0,1) 
(-0.122391,0,0,1) 
(-0.333781,0,0,1) 
(-0.451508,0,0,1) 
(-0.451508,0,0,1) 
(-0.333781,0,0,1) 
(-0.122391,0,0,1) 
(0.102265,0,0,1) 
(0.114654,0,0,1) 
(-0.107483,0,0,1) 
(-0.298729,0,0,1) 
(-0.416456,0,0,1) 
(-0.416456,0,0,1) 
(-0.298729,0,0,1) 
(-0.107483,0,0,1) 
(0.114654,0,0,1) 
(0.434867,0,0,1) 
(0.284242,0,0,1) 
(0.15645,0,0,1) 
(0.0466398,0,0,1) 
(0.0466399,0,0,1) 
(0.15645,0,0,1) 
(0.284242,0,0,1) 
(0.434867,0,0,1) 
(0.564574,0,0,1) 
(0.327421,0,0,1) 
(0.100701,0,0,1) 
(-0.0419886,0,0,1) 
(-0.0419886,0,0,1) 
(0.100701,0,0,1) 
(0.32742,0,0,1) 
(0.564574,0,0,1) 
(0.564574,0,0,1) 
(0.327421,0,0,1) 
(0.100701,0,0,1) 
(-0.0419886,0,0,1) 
(-0.0419886,0,0,1) 
(0.100701,0,0,1) 
(0.32742,0,0,1) 
(0.564574,0,0,1) 
(0.634251,0,0,1) 
(0.399039,0,0,1) 
(0.176668,0,0,1) 
(0.0344409,0,0,1) 
(0.0344408,0,0,1) 
(0.176668,0,0,1) 
(0.399038,0,0,1) 
(0.63425,0,0,1) 
(0.471745,0,0,1) 
(0.237229,0,0,1) 
(0.0294899,0,0,1) 
(0.00146432,0,0,1) 
(0.00146432,0,0,1) 
(0.0294899,0,0,1) 
(0.237229,0,0,1) 
(0.471744,0,0,1) 
(0.522172,0,0,1) 
(0.33633,0,0,1) 
(0.231393,0,0,1) 
(0.175262,0,0,1) 
(0.175262,0,0,1) 
(0.231393,0,0,1) 
(0.33633,0,0,1) 
(0.522172,0,0,1) 
(0.251987,0,0,1) 
(0.0280838,0,0,1) 
(-0.122391,0,0,1) 
(-0.220239,0,0,1) 
(-0.220239,0,0,1) 
(-0.122391,0,0,1) 
(0.0280836,0,0,1) 
(0.251987,0,0,1) 
(0.264232,0,0,1) 
(0.0405594,0,0,1) 
(-0.107483,0,0,1) 
(-0.190866,0,0,1) 
(-0.190866,0,0,1) 
(-0.107483,0,0,1) 
(0.0405594,0,0,1) 
(0.264232,0,0,1) 
(0.557224,0,0,1) 
(0.379037,0,0,1) 
(0.284242,0,0,1) 
(0.228112,0,0,1) 
(0.228112,0,0,1) 
(0.284242,0,0,1) 
(0.379037,0,0,1) 
(0.557224,0,0,1) 
(0.708856,0,0,1) 
(0.489609,0,0,1) 
(0.32742,0,0,1) 
(0.227727,0,0,1) 
(0.227727,0,0,1) 
(0.32742,0,0,1) 
(0.489609,0,0,1) 
(0.708856,0,0,1) 
(0.708857,0,0,1) 
(0.48961,0,0,1) 
(0.32742,0,0,1) 
(0.227727,0,0,1) 
(0.227727,0,0,1) 
(0.327421,0,0,1) 
(0.48961,0,0,1) 
(0.708856,0,0,1) 
(0.775506,0,0,1) 
(0.560315,0,0,1) 
(0.399038,0,0,1) 
(0.300644,0,0,1) 
(0.300644,0,0,1) 
(0.399038,0,0,1) 
(0.560315,0,0,1) 
(0.775506,0,0,1) 
(0.617593,0,0,1) 
(0.396916,0,0,1) 
(0.237229,0,0,1) 
(0.138789,0,0,1) 
(0.138789,0,0,1) 
(0.237229,0,0,1) 
(0.396916,0,0,1) 
(0.617593,0,0,1) 
(0.658787,0,0,1) 
(0.522172,0,0,1) 
(0.397837,0,0,1) 
(0.345987,0,0,1) 
(0.345987,0,0,1) 
(0.397837,0,0,1) 
(0.522172,0,0,1) 
(0.658787,0,0,1) 
(0.40952,0,0,1) 
(0.251987,0,0,1) 
(0.102265,0,0,1) 
(0.0444863,0,0,1) 
(0.0444862,0,0,1) 
(0.102266,0,0,1) 
(0.251987,0,0,1) 
(0.409519,0,0,1) 
(0.421995,0,0,1) 
(0.264232,0,0,1) 
(0.114654,0,0,1) 
(0.0567311,0,0,1) 
(0.0567311,0,0,1) 
(0.114654,0,0,1) 
(0.264232,0,0,1) 
(0.421995,0,0,1) 
(0.694315,0,0,1) 
(0.557224,0,0,1) 
(0.434867,0,0,1) 
(0.387631,0,0,1) 
(0.387631,0,0,1) 
(0.434867,0,0,1) 
(0.557224,0,0,1) 
(0.694315,0,0,1) 
(0.878518,0,0,1) 
(0.708856,0,0,1) 
(0.564574,0,0,1) 
(0.497443,0,0,1) 
(0.497443,0,0,1) 
(0.564574,0,0,1) 
(0.708856,0,0,1) 
(0.878518,0,0,1) 
(0.878519,0,0,1) 
(0.708856,0,0,1) 
(0.564574,0,0,1) 
(0.497443,0,0,1) 
(0.497443,0,0,1) 
(0.564574,0,0,1) 
(0.708857,0,0,1) 
(0.878518,0,0,1) 
(0.943962,0,0,1) 
(0.775506,0,0,1) 
(0.63425,0,0,1) 
(0.566846,0,0,1) 
(0.566846,0,0,1) 
(0.63425,0,0,1) 
(0.775506,0,0,1) 
(0.943962,0,0,1) 
(0.785312,0,0,1) 
(0.617593,0,0,1) 
(0.471744,0,0,1) 
(0.406526,0,0,1) 
(0.406526,0,0,1) 
(0.471744,0,0,1) 
(0.617593,0,0,1) 
(0.785312,0,0,1) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
(0,0,0,0) 
